topic	claim	source	text	argument_sum	argument_annotator_1	stance_annotator_1	aspect_1_annotator_1	aspect_2_annotator_1	aspect_3_annotator_1	argument_annotator_2	stance_annotator_2	aspect_1_annotator_2	aspect_2_annotator_2	aspect_3_annotator_2	argument_annotator_3	stance_annotator_3	aspect_1_annotator_3	aspect_2_annotator_3	aspect_3_annotator_3
Криптовалюта	Нужно использовать криптовалюту и инвестировать в неё	https://lenta.ru/news/2017/09/25/madness/	Поэтому вопрос легализации этого инструмента, на мой взгляд, стоит на повестке дня, причем чем быстрее мы это сделаем, тем лучше для граждан,  подчеркнул глава комитета.	1	0					0					1	за	Перспективы	Отношение властей	
Криптовалюта	Нужно использовать криптовалюту и инвестировать в неё	https://lenta.ru/news/2018/04/11/zavod/	Предварительно установлено, что высокотехнологичное оборудование использовалось для производства криптовалюты.	0	0					0					0				
Криптовалюта	Нужно использовать криптовалюту и инвестировать в неё	https://lenta.ru/news/2017/09/14/crypto/	Председатель ЦБ убеждена, что нынешний механизм использования криптовалют имеет признаки пирамиды.	3	1	против	Надежность			1	против	Безопасность			1	против	Безопасность	Отношение властей	
Криптовалюта	Нужно использовать криптовалюту и инвестировать в неё	https://lenta.ru/news/2017/09/11/aksakov/	При использовании криптовалют информация об инвесторах зашифрована, никаких последствий, связанных с санкциями, для них не может быть, отметил Аксаков.	3	1	за	Безопасность			1	за	Удобство и комфорт			1	за	Надежность		
Криптовалюта	Нужно использовать криптовалюту и инвестировать в неё	https://lenta.ru/news/2013/06/24/ozon/	При этом крупнейшие интернет-компании Рунета, включая Яндекс и Google, раскритиковали законопроект, отметив, что он угрожает развитию интернет-отрасли в России.	0	0					0					0				
Криптовалюта	Нужно использовать криптовалюту и инвестировать в неё	https://lenta.ru/news/2018/09/11/nalogy/	При этом мы фиксируем рост поступлений практически по всем регионам Дальнего Востока, и это несмотря на значительные льготы и инвестиционные проекты,  сказал руководитель налоговой службы.	0	0					0					0				
Криптовалюта	Нужно использовать криптовалюту и инвестировать в неё	https://lenta.ru/news/2017/08/30/fareast/	Профицит электроэнергии на Дальнем Востоке может быть использован для майнинга биткоинов.	2	1	за	Стоимость			0					1	за	Стоимость		
Криптовалюта	Нужно использовать криптовалюту и инвестировать в неё	https://lenta.ru/news/2017/08/30/fareast/	Работать с избытком электроэнергии вполне возможно,  сказал он.	0	0					0					0				
Криптовалюта	Нужно использовать криптовалюту и инвестировать в неё	https://lenta.ru/news/2018/05/26/miner/	Разработчики обещают 1,5 года безубыточного нагревания воды и добычи биткоина.	2	1	за	Стоимость			0					1	за	Стоимость		
Криптовалюта	Нужно использовать криптовалюту и инвестировать в неё	https://lenta.ru/news/2018/09/11/nalogy/	Растут поступления и в региональные бюджеты  почти на 22 миллиарда рублей, что позволяет региональным властям вкладывать дополнительные деньги в инфраструктуру, человеческий капитал и другие направления для комфортной жизни граждан.	0	0					0					0				
Криптовалюта	Нужно использовать криптовалюту и инвестировать в неё	https://lenta.ru/news/2017/09/08/cbcrypto/	Риски здесь есть, и мы о них говорили  это и анонимность транзакций, возможность использования в финансировании терроризма и незаконных доходов,  сказала она.	3	1	против	Безопасность			1	против	Безопасность			1	против	Безопасность		
Криптовалюта	Нужно использовать криптовалюту и инвестировать в неё	https://lenta.ru/news/2017/06/08/ruscripto/	Росфинмониторинг считает целесообразным создание национальной криптовалюты.	3	1	за	Отношение властей			1	за	Отношение властей			1	за	Отношение властей		
Криптовалюта	Нужно использовать криптовалюту и инвестировать в неё	https://lenta.ru/news/2018/01/19/bitcoin_bye/	Ситуация вокруг криптовалют напоминает голландскую болезнь, подчеркнул экономист.	2	1	против	Перспективы			0					1	против	Безопасность		
Криптовалюта	Нужно использовать криптовалюту и инвестировать в неё	https://lenta.ru/news/2018/01/11/crypto/	Ситуация вокруг криптовалют стала напоминать азартную игру и спекуляции,  подчеркнул он.	3	1	против	Надежность			1	против	Безопасность			1	против	Безопасность		
Криптовалюта	Нужно использовать криптовалюту и инвестировать в неё	https://lenta.ru/news/2019/11/07/crypta/	Совладелец и генеральный директор платформы Dailyrich.ru Константин Голиков указывает, что конфискация фактически означает признание и легализацию криптовалют на территории России, а против этого возражает Центробанк.	1	1	против	Отношение властей			0					0				
Криптовалюта	Нужно использовать криптовалюту и инвестировать в неё	https://lenta.ru/news/2017/09/14/crypto/	Стоимость во многом растет из-за того, что вовлекается в эти схемы все большее количество участников,  сказала она.	1	1	против	Перспективы			0					0				
Криптовалюта	Нужно использовать криптовалюту и инвестировать в неё	https://lenta.ru/news/2017/08/30/fareast/	Стоимость криптовалют растет в геометрической прогрессии, почему мы должны стоять в стороне, мне не до конца понятно,  подчеркнул он.	2	1	за	Перспективы			0					1	за	Перспективы	Доходность	
Криптовалюта	Нужно использовать криптовалюту и инвестировать в неё	https://lenta.ru/news/2018/05/01/smekalochka/	Таким образом, как отмечает Coindesk, Венесуэле приходится искать пути внедрения своей криптовалюты в мировую экономику.	0	0					0					0				
Криптовалюта	Нужно использовать криптовалюту и инвестировать в неё	https://lenta.ru/news/2018/05/26/miner/	Такой объем электричества сопоставим с годовым потреблением энергии в Португалии, Бангладеш, Узбекистане и Румынии.	2	1	против	Стоимость			0					1	за	Экологичность		
Криптовалюта	Нужно использовать криптовалюту и инвестировать в неё	https://lenta.ru/news/2018/04/11/zavod/	Такой способ значительно увеличивает нагрузку на сеть, кроме того, в помещении сильно нагревается воздух.	2	1	против	Стоимость			0					1	против	Экологичность		
Криптовалюта	Нужно использовать криптовалюту и инвестировать в неё	https://lenta.ru/news/2018/02/10/bitdyrov/	Тем более развито мошенничество в этом сегменте,  добавил Кадыров.	2	1	против	Безопасность			0					1	против	Безопасность	Отношение властей	
Криптовалюта	Нужно использовать криптовалюту и инвестировать в неё	https://lenta.ru/news/2017/06/14/cryptokirg/	Тем не менее некоторые выгоды от введения цифровой валюты есть упрощение процесса получения и выдачи кредитов, ускорение переводов и платежей.	3	1	за	Удобство и комфорт			1	за	Удобство и комфорт			1	за	Удобство и комфорт		
Криптовалюта	Нужно использовать криптовалюту и инвестировать в неё	https://lenta.ru/news/2018/09/11/nalogy/	То есть налоговая служба сама решает почти все споры с налогоплательщиками в досудебном порядке  в итоге за последние четыре года число судебных споров сократилось в пять раз.	0	0					0					0				
Криптовалюта	Нужно использовать криптовалюту и инвестировать в неё	https://lenta.ru/news/2019/11/07/crypta/	То есть у государства должны появиться криптосчета, но большая волатильность криптовалют создает вопрос сохранности средств.	2	1	против	Надежность			0					1	против	Надежность		
Криптовалюта	Нужно использовать криптовалюту и инвестировать в неё	https://lenta.ru/news/2017/09/13/foreigncur/	Тогда все операции будут абсолютно прозрачны,  считает бизнес-омбудсмен.	0	0					0					0				
Криптовалюта	Нужно использовать криптовалюту и инвестировать в неё	https://lenta.ru/news/2017/08/11/ukrcoin/	Указывается, что всего в бассейне было обнаружено 200 компьютеров, использованных для добычи криптовалют.	0	0					0					0				
Криптовалюта	Нужно использовать криптовалюту и инвестировать в неё	https://lenta.ru/news/2018/09/11/nalogy/	Уровень налогового разрыва здесь такой же, как и по стране 0,9 процента, а значит, это реальные инвестиции.	0	0					0					0				
Криптовалюта	Нужно использовать криптовалюту и инвестировать в неё	https://lenta.ru/news/2014/02/14/silkroad2/	Уязвимость позволяет скрывать данные о том, что платеж за тот или иной товар был успешно проведен.	1	1	против	Безопасность			0					0				
Криптовалюта	Нужно использовать криптовалюту и инвестировать в неё	https://lenta.ru/news/2017/09/08/cbcrypto/	Центробанк не допустит использования в России криптовалют как денежных суррогатов.	3	1	против	Отношение властей			1	против	Отношение властей			1	против	Отношение властей		
Криптовалюта	Нужно использовать криптовалюту и инвестировать в неё	https://lenta.ru/news/2017/08/30/fareast/	Цифровые деньги дорожают, и это необходимо использовать, отметил полпред.	3	1	за	Перспективы			1	за	Отношение властей			1	за	Перспективы		
Криптовалюта	Нужно использовать криптовалюту и инвестировать в неё	https://lenta.ru/news/2019/04/09/hackerman/	Часть похищенных средств он потратил на дорогие отели, азартные игры, услуги проституток, наркотики и предметы роскоши.	0	0					0					0				
Криптовалюта	Нужно использовать криптовалюту и инвестировать в неё	https://lenta.ru/news/2017/08/22/no_anonimity/	Чаще всего третьи лица получают доступ к адресам электронной почты и физическим адресам, никнеймам, именам и фамилиям пользователей, а также к их номерам телефонов.	1	1	против	Безопасность			0					0				
Криптовалюта	Нужно использовать криптовалюту и инвестировать в неё	https://lenta.ru/news/2003/11/05/chubais2/	Чубайс еще раз повторил, что в деле ЮКОСа речь идет не об ошибках конкретного следователя, а о сигнале, посланном правоохранительной системе в целом о том, как ей надо общаться с бизнесом, который он считает крайне опасным.	0	0					0					0				
Криптовалюта	Нужно использовать криптовалюту и инвестировать в неё	https://lenta.ru/news/2018/05/19/ne_rossiya/	Швейцария  центральный хаб для криптовалютных проектов со всего мира благодаря положительной регуляторной динамике,  говорится в исследовании.	0	0					0					0				
Криптовалюта	Нужно использовать криптовалюту и инвестировать в неё	https://lenta.ru/news/2018/01/19/bitcoin_bye/	Экономист убежден, что биткоин ничего не стоит до тех пор, пока общество не договорится о его стоимости, то есть своим интересом создаст ему стоимость.	2	1	против	Перспективы			0					1	против	Надежность		
Криптовалюта	Нужно использовать криптовалюту и инвестировать в неё	https://lenta.ru/news/2014/12/25/bahinvest/	Это серьезная подпитка.	0	0					0					0				
Онлайн-образование	Онлайн-образование может конкурировать с традиционным образованием	https://lenta.ru/news/2017/10/27/jobs/	В ближайшее время более трех миллионов россиян будут невостребованы на рынке труда.	0	0					0					0				
Онлайн-образование	Онлайн-образование может конкурировать с традиционным образованием	https://lenta.ru/news/2018/12/03/fishing/	В связи с предновогодними распродажами в сети увеличится активность интернет-мошенников, которые крадут персональные данные и сведения о банковских картах.	0	0					0					0				
Онлайн-образование	Онлайн-образование может конкурировать с традиционным образованием	https://lenta.ru/news/2018/12/03/fishing/	Кражу персональных данных, или фишинг, обычно проводят с помощью поддельных сайтов.	1	1	против	Безопасность			0					0				
Онлайн-образование	Онлайн-образование может конкурировать с традиционным образованием	https://lenta.ru/news/2010/04/09/online/	Кроме того, губернатор рассчитывает, что использование новейших технологий позволит штату сократить расходы на образование впрочем, сравнений стоимости бумажных и электронных учебников Перри не представил.	3	1	за	Стоимость			1	за	Стоимость			1	за	Стоимость		
Онлайн-образование	Онлайн-образование может конкурировать с традиционным образованием	https://lenta.ru/news/2017/10/27/jobs/	Кроме того, Сбербанк объявлял о сокращении 8 процентов сотрудников в результате перехода к онлайн-банкингу.	0	0					0					0				
Онлайн-образование	Онлайн-образование может конкурировать с традиционным образованием	https://lenta.ru/news/2018/12/03/fishing/	Лучший способ обезопасить свои персональные данные  обращать внимание на приходящие письма и не открывать подозрительные ссылки.	0	0					0					0				
Онлайн-образование	Онлайн-образование может конкурировать с традиционным образованием	https://lenta.ru/news/2018/12/03/fishing/	Мошенники подделывают известные ресурсы, заменяя в адресе похожие символы алфавита друг на друга, рассылают спам с требованием перейти на фальшивый сайт налоговой или отправляют архив с важными документами, при открытии которого скачивается вирус.	0	0					0					0				
Онлайн-образование	Онлайн-образование может конкурировать с традиционным образованием	https://lenta.ru/news/2017/10/27/jobs/	Нам надо будет их переучить, а дать им новую профессию гораздо труднее, чем сделать это по отношению к молодым людям,  заявил Абызов.	0	0					0					0				
Онлайн-образование	Онлайн-образование может конкурировать с традиционным образованием	https://lenta.ru/news/2018/12/03/fishing/	Однако эксперты отмечают, что полностью автоматизировать процесс защиты практически невозможно.	0	0					0					0				
Онлайн-образование	Онлайн-образование может конкурировать с традиционным образованием	https://lenta.ru/news/2017/10/27/jobs/	Первое  это женщины, второе  это люди в возрасте от 45 лет до 55 лет, то есть та возрастная когорта, та среда, которая очень тяжела с точки зрения новых навыков образования и новых моделей.	0	0					0					0				
Онлайн-образование	Онлайн-образование может конкурировать с традиционным образованием	https://lenta.ru/news/2010/04/09/online/	По словам Перри, бумажные учебники слишком быстро устаревают, тогда как учебные онлайн-материалы подлежат удобному и своевременному обновлению.	3	1	за	Перспективы			1	за	Удобство и комфорт			1	за	Удобство и комфорт	Стоимость	
Онлайн-образование	Онлайн-образование может конкурировать с традиционным образованием	https://lenta.ru/news/2019/09/17/electro/	По словам спикера Госдумы Вячеслава Володина, электронные трудовые избавят бизнес от излишних трудозатрат, а работников  от риска потерять сведения о стаже, а также необходимости самостоятельно его восстанавливать.	0	0					0					0				
Онлайн-образование	Онлайн-образование может конкурировать с традиционным образованием	https://lenta.ru/news/2018/12/03/fishing/	Помочь защититься от мошенников может и специально обученная нейросеть, которая самостоятельно вычисляет опасные сайты и также закрывает к ним доступ.	0	0					0					0				
Онлайн-образование	Онлайн-образование может конкурировать с традиционным образованием	https://lenta.ru/news/2018/12/03/fishing/	Часто злоумышленники делают клоны онлайн-магазинов для получения данных банковских карт.	0	0					0					0				
Пенсионные сбережения	Нужно делать пенсионные сбережения	https://lenta.ru/news/2004/08/05/concierge/	- Они зарабатывают настолько мало, что не имеют возможности не только откладывать деньги, но даже просто обеспечить себя всем необходимым.	3	1	против	Уровень жизни			1	против	Уровень жизни			1	против	Уровень жизни		
Пенсионные сбережения	Нужно делать пенсионные сбережения	https://lenta.ru/news/2017/03/10/ndfl/	Александра Суслина из Экономической экспертной группы уверена, что от предлагаемых мер больше всего пострадают беднейшие.	0	0					0					0				
Пенсионные сбережения	Нужно делать пенсионные сбережения	https://lenta.ru/news/2003/12/18/president/	Анатолий Никитин из Мурманской области МВД, ГАИ занимаются собственным бизнесом, обеспечивают безопасность только для своих.	0	0					0					0				
Пенсионные сбережения	Нужно делать пенсионные сбережения	https://lenta.ru/news/2003/12/18/president/	Банк просто не даст денег, если вы не можете заложить свое жилье.	0	0					0					0				
Пенсионные сбережения	Нужно делать пенсионные сбережения	https://lenta.ru/news/2013/11/18/cbr/	Благодаря переводу накоплений бюджету не придется тратиться на трансферт Пенсионному фонду  экономия составит более 240 миллиардов рублей.	0	0					0					0				
Пенсионные сбережения	Нужно делать пенсионные сбережения	https://lenta.ru/news/2018/07/19/con/	В 2016 году сообщалось, что больная раком 90-летняя американка променяла лечение на путешествие по США в фургоне для кемпинга, а затем в другие страны.	0	0					0					0				
Пенсионные сбережения	Нужно делать пенсионные сбережения	https://lenta.ru/news/2003/12/18/president/	В других странах разработаны более гибкие средства - сезонная страховка, например, ведь многие пенсионеры зимой машинами не пользуются.	0	0					0					0				
Пенсионные сбережения	Нужно делать пенсионные сбережения	https://lenta.ru/news/2014/04/02/pensia/	В Ереване также состоялась серия митингов против нововведений, граждане были обеспокоены сохранностью пенсионных отчислений и сомневались, что государство вернет им эти деньги по достижении пенсионного возраста.	3	1	против	Надежность			1	против	Надежность			1	против	Надежность		
Пенсионные сбережения	Нужно делать пенсионные сбережения	https://lenta.ru/news/2003/12/18/president/	В значительной степени это задача местных властей.	0	0					0					0				
Пенсионные сбережения	Нужно делать пенсионные сбережения	https://lenta.ru/news/2019/10/24/rabotat/	В мире все больше людей преклонного возраста, которые нуждаются не столько в деньгах, сколько в услугах, которые нужно оплачивать.	3	1	за	Уровень жизни			1	за	Уровень жизни			1	за	Уровень жизни		
Пенсионные сбережения	Нужно делать пенсионные сбережения	https://lenta.ru/news/2007/10/18/pension/	В начале 2007 года стало ясно, что без этой системы работники не могут рассчитывать на приличную пенсию.	3	1	за	Уровень жизни			1	за	Уровень жизни			1	за	Уровень жизни		
Пенсионные сбережения	Нужно делать пенсионные сбережения	https://lenta.ru/news/2003/12/18/president/	В прошлом году было якобы оказано услуг на 9 миллиардов рублей, а по оценкам - лишь на 2 миллиарда.	0	0					0					0				
Пенсионные сбережения	Нужно делать пенсионные сбережения	https://lenta.ru/news/2013/11/18/cbr/	В Центробанке считают, что чем ближе к пенсии, тем больший акцент необходимо делать на сохранности инвестиций.	0	0					0					0				
Пенсионные сбережения	Нужно делать пенсионные сбережения	https://lenta.ru/news/2015/03/16/cbr/	В частности, создана система гарантирования, НПФ начали демонстрировать неплохую доходность, решена проблема с трансфертными агентами.	3	1	за	Надежность			1	за	Надежность			1	за	Доходность		
Пенсионные сбережения	Нужно делать пенсионные сбережения	https://lenta.ru/news/2003/12/18/president/	Ведь возникает путаница.	0	0					0					0				
Пенсионные сбережения	Нужно делать пенсионные сбережения	https://lenta.ru/news/2003/12/18/president/	Владимир Путин В российских школах школьники не должны покупать учебники сами.	0	0					0					0				
Пенсионные сбережения	Нужно делать пенсионные сбережения	https://lenta.ru/news/2003/12/18/president/	Владимир Путин Можно гордиться яблоками и другими продуктами сельского хозяйства, не сомневаюсь.	0	0					0					0				
Пенсионные сбережения	Нужно делать пенсионные сбережения	https://lenta.ru/news/2003/12/18/president/	Владимир Путин Регулирование цен и тарифов должно быть поставлено под больший контроль правительства.	0	0					0					0				
Пенсионные сбережения	Нужно делать пенсионные сбережения	https://lenta.ru/news/2003/12/18/president/	Владимир Путин Скажу не только как глава государства, который должен хранить сбережения в отечественной валюте, скажу как человек, который этим вопросом занимается, который регулярно встречается с представителями Минфина и других экономических структур хранить сбережения выгоднее всего в российских рублях на депозитных счетах в банках.	0	0					0					0				
Пенсионные сбережения	Нужно делать пенсионные сбережения	https://lenta.ru/news/2003/12/18/president/	Владимир Путин Я думаю, что если требования справедливы, то нужно слушаться.	0	0					0					0				
Пенсионные сбережения	Нужно делать пенсионные сбережения	https://lenta.ru/news/2003/12/18/president/	Вот эти меры нужны для укрепления экономики в первую очередь.	0	0					0					0				
Пенсионные сбережения	Нужно делать пенсионные сбережения	https://lenta.ru/news/2003/12/18/president/	Все хорошо, когда в меру, если чувство меры исчезает, то это вызывает огорчение.	0	0					0					0				
Пенсионные сбережения	Нужно делать пенсионные сбережения	https://lenta.ru/news/2003/12/18/president/	Второе - эти надбавки будут учитываться при  начислении пенсии.	0	0					0					0				
Пенсионные сбережения	Нужно делать пенсионные сбережения	https://lenta.ru/news/2003/12/18/president/	Вы знаете, сколько оружия мы производим для Индии, Китая, это положительный фактор, в мире идет борьба за рынки вооружения, у нас здесь хорошие позиции, мы получили по этим статьям несколько миллиардов долларов в казну.	0	0					0					0				
Пенсионные сбережения	Нужно делать пенсионные сбережения	https://lenta.ru/news/2003/12/18/president/	Генерально, как я уже сказал, проблему можно решить, только расширив применение ипотечного кредитования.	0	0					0					0				
Пенсионные сбережения	Нужно делать пенсионные сбережения	https://lenta.ru/news/2017/03/10/ndfl/	Глава Ассоциации негосударственных пенсионных фондов Сергей Беляков сказал, что налоговая ставка должна мотивировать, а не штрафовать.	0	0					0					0				
Пенсионные сбережения	Нужно делать пенсионные сбережения	https://lenta.ru/news/2003/12/18/president/	Говорю осторожно, но результаты неплохие.	0	0					0					0				
Пенсионные сбережения	Нужно делать пенсионные сбережения	https://lenta.ru/news/2006/11/24/pension/	Даже сейчас многие директора зачастую подписывают договоры без уведомления работников.	0	0					0					0				
Пенсионные сбережения	Нужно делать пенсионные сбережения	https://lenta.ru/news/2003/12/18/president/	Даниленко Евгений, директор центра содействия детского творчества, отец малолетнего ребенка В Москве и некоторых городах России есть программы субсидирования строительства жилья для молодых семей.	0	0					0					0				
Пенсионные сбережения	Нужно делать пенсионные сбережения	https://lenta.ru/news/2014/04/02/pensia/	Депутат от фракции АРФД Арцвик Минасян, комментируя реформу, высказывал мнение, что обязательную пенсионную систему в республике вводить нецелесообразно из-за высокого уровня бедности по данным отчета Национальной статистической службы Армении, опубликованного в 2013 году, уровень бедности за 2012 год составил 34 процента.	1	0					0					1	за	Уровень жизни		
Пенсионные сбережения	Нужно делать пенсионные сбережения	https://lenta.ru/news/2018/10/26/kopilka/	Депутат также добавил, что размер пенсии, в том числе повышенной, не решает вопросы жизнеобеспечения.	2	1	за	Уровень жизни			0					1	за	Уровень жизни		
Пенсионные сбережения	Нужно делать пенсионные сбережения	https://lenta.ru/news/2009/01/15/savings/	Для государства новая пенсионная система выгодна тем, что она позволяет получить дополнительные средства, не достающие Пенсионному фонду.	0	0					0					0				
Пенсионные сбережения	Нужно делать пенсионные сбережения	https://lenta.ru/news/2003/12/18/president/	Для того чтобы предотвратить легальный отток капиталов, нужно создавать более благоприятные условия для инвестирования в экономику.	0	0					0					0				
Пенсионные сбережения	Нужно делать пенсионные сбережения	https://lenta.ru/news/2004/08/05/concierge/	Дом без консьержки - все равно, что дом без души.	0	0					0					0				
Пенсионные сбережения	Нужно делать пенсионные сбережения	https://lenta.ru/news/2004/08/05/concierge/	Домовладельцам консьержки не нужны, пишет газета.	0	0					0					0				
Пенсионные сбережения	Нужно делать пенсионные сбережения	https://lenta.ru/news/2013/11/18/cbr/	Если до пенсии осталось 20 лет или больше, накопления такого гражданина можно инвестировать в активы высокого риска и доходности, считает ЦБ.	2	1	за	Доходность			1	за	Отношение властей			0				
Пенсионные сбережения	Нужно делать пенсионные сбережения	https://lenta.ru/news/2003/12/18/president/	Если мы не обеспечим высокие темпы роста экономики, будем отставать везде.	0	0					0					0				
Пенсионные сбережения	Нужно делать пенсионные сбережения	https://lenta.ru/news/2003/12/18/president/	Если это сложить и с газодобычей, то у нас просто нет конкурентов.	0	0					0					0				
Пенсионные сбережения	Нужно делать пенсионные сбережения	https://lenta.ru/news/2003/12/18/president/	Естественный резервуар притока трудовых ресурсов для нас - это СНГ, это ментально близкие нам люди, им легко вжиться в российские условия.	0	0					0					0				
Пенсионные сбережения	Нужно делать пенсионные сбережения	https://lenta.ru/news/2003/12/18/president/	Есть еще страховка выходного дня.	0	0					0					0				
Пенсионные сбережения	Нужно делать пенсионные сбережения	https://lenta.ru/news/2003/12/18/president/	Еще основатель Советского государства В.И. Ленин писал, что русский человек - плохой работник.	0	0					0					0				
Пенсионные сбережения	Нужно делать пенсионные сбережения	https://lenta.ru/news/2018/10/10/never_late/	Женщина призналась, что увлеклась татуировками в надежде побороть печаль.	0	0					0					0				
Пенсионные сбережения	Нужно делать пенсионные сбережения	https://lenta.ru/news/2005/09/09/sale1/	Жители России предпочитают, чтобы сверхдоходы от нефти вкладывались в бесплатное здравоохранение и повышение пенсий, а не в досрочное погашение внешнего долга или накопление стабфонда, пишут в пятницу Ведомости.	0	0					0					0				
Пенсионные сбережения	Нужно делать пенсионные сбережения	https://lenta.ru/news/2003/12/18/president/	Жительница Ставрополья Ирина Можайская За последние три года в нашем регионе было совершено 12 терактов, причем во время последнего взрыва электрички в Ессентуках погибли 45 человек.	0	0					0					0				
Пенсионные сбережения	Нужно делать пенсионные сбережения	https://lenta.ru/news/2003/12/18/president/	И было бы ошибкой не замечать этих проблем.	0	0					0					0				
Пенсионные сбережения	Нужно делать пенсионные сбережения	https://lenta.ru/news/2003/12/18/president/	И впоследствии мне пригодились его уроки демократии.	0	0					0					0				
Пенсионные сбережения	Нужно делать пенсионные сбережения	https://lenta.ru/news/2003/12/18/president/	И выработать механизм привлечения нужных нам трудовых ресурсов.	0	0					0					0				
Пенсионные сбережения	Нужно делать пенсионные сбережения	https://lenta.ru/news/2003/12/18/president/	И еще - пенсионный фонд открывает сеть консультационных пунктов, если проблемы есть - туда нужно обращаться.	0	0					0					0				
Пенсионные сбережения	Нужно делать пенсионные сбережения	https://lenta.ru/news/2003/12/18/president/	И еще я хочу сказать правительство понимает, что нефтянка - это курица, несущая золотые яйца, убивать ее никто не собирается.	0	0					0					0				
Пенсионные сбережения	Нужно делать пенсионные сбережения	https://lenta.ru/news/2003/12/18/president/	И правонарушения были - известны случаи, когда в некоторых квартирах, комнатах по 10-12 квадратных метров было прописано по 400 человек.	0	0					0					0				
Пенсионные сбережения	Нужно делать пенсионные сбережения	https://lenta.ru/news/2003/12/18/president/	И связано это с раздачей льгот, с невниманием к этой сфере.	0	0					0					0				
Пенсионные сбережения	Нужно делать пенсионные сбережения	https://lenta.ru/news/2003/12/18/president/	И тогда люди, надеюсь, почувствуют измение качества услуг - в области ЖКХ, здравоохранения, образования.	0	0					0					0				
Пенсионные сбережения	Нужно делать пенсионные сбережения	https://lenta.ru/news/2003/12/18/president/	И это отражается на уровне жизни.	0	0					0					0				
Пенсионные сбережения	Нужно делать пенсионные сбережения	https://lenta.ru/news/2003/12/18/president/	Из бюджета выделяются значительные суммы.	0	0					0					0				
Пенсионные сбережения	Нужно делать пенсионные сбережения	https://lenta.ru/news/2003/12/18/president/	Изношенность сетей составляет 60 процентов.	0	0					0					0				
Пенсионные сбережения	Нужно делать пенсионные сбережения	https://lenta.ru/news/2003/12/18/president/	К власти в Грузии пришли сподвижники Михаила Саакашвили, вероятного будущего президента страны, а он угрожает Абхазии.	0	0					0					0				
